date,ticker,name,currency,shares,cost_basis,current_price,pnl_pct,current_value
2026-05-17,00100,MINIMAX-W,HKD,60,822.83,794.0,-3.5,47640.0
2026-05-17,02208,金风科技,HKD,400,14.084,14.73,4.59,5892.0
2026-05-17,03032,恒生科技ETF,HKD,200,5.405,4.922,-8.94,984.4
2026-05-17,07226,XL二南方恒科,HKD,6200,4.3632,3.87,-11.3,23994.0
2026-05-17,03033,南方恒生科技,HKD,1000,5.14,4.83,-6.03,4830.0
2026-05-22,RKLB,Rocket Lab Corp,USD,5,71,135.76,91.2113,678.8
2026-05-22,CRCL,Circle Internet Group Inc-A,USD,2,87,113.05,29.9425,226.1
2026-05-22,PLTU,二倍做多PLTR ETF-Direxion,USD,14,40.957142857142856,36.9,-9.9058,516.6
2026-05-22,SOXL,三倍做多半导体ETF-Direxion,USD,2,91.87,190.41,107.2603,380.82
2026-05-22,ROBN,二倍做多HOOD ETF-T-Rex,USD,40,23.582500000000003,17.64,-25.1988,705.6
2026-05-22,MSFU,二倍做多微软ETF-Direxion,USD,20,29.130000000000003,28.81,-1.0985,576.2
2026-05-22,00100,MINIMAX-W,HKD,60,822.83,749.0,-8.97,44940.0
2026-05-22,02208,金风科技,HKD,400,14.084,14.56,3.38,5824.0
2026-05-22,03032,恒生科技ETF,HKD,200,5.405,4.85,-10.27,970.0
2026-05-22,07226,XL二南方恒科,HKD,6200,4.3632,3.752,-14.01,23262.4
2026-05-22,03033,南方恒生科技,HKD,1000,5.14,4.764,-7.32,4764.0
2026-05-29,RKLB,Rocket Lab Corp,USD,5,71,143.48,102.0845,717.4
2026-05-29,CRCL,Circle Internet Group Inc-A,USD,2,87,113.0,29.8851,226.0
2026-05-29,PLTU,二倍做多PLTR ETF-Direxion,USD,14,40.957142857142856,47.58,16.1702,666.12
2026-05-29,ROBN,二倍做多HOOD ETF-T-Rex,USD,40,23.582500000000003,28.25,19.7922,1130.0
2026-05-29,MSFU,二倍做多微软ETF-Direxion,USD,20,29.130000000000003,33.1797,13.9022,663.59
2026-05-29,00100,MINIMAX-W,HKD,60,822.83,840.0,2.09,50400.0
2026-05-29,02208,金风科技,HKD,400,14.084,13.71,-2.66,5484.0
2026-05-29,03032,恒生科技ETF,HKD,200,5.405,4.874,-9.82,974.8
2026-05-29,07226,XL二南方恒科,HKD,6200,4.3632,3.76,-13.82,23312.0
2026-05-29,03033,南方恒生科技,HKD,1000,5.14,4.784,-6.93,4784.0
